filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X509_Group1B_70dpi_RV_top_284_B_C10_P137.mzXML,509,Group1B,naive,75,RV_top,C10,P137,0.046479442
X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,510,Group1B,naive,75,LA,C11,P121,0.113112195
X510_Group1B_70dpi_LV_bottom_285_B_C11_P133.mzXML,510,Group1B,naive,75,LV_bottom,C11,P133,0.101691199
X510_Group1B_70dpi_LV_top_285_B_C11_P129.mzXML,510,Group1B,naive,75,LV_top,C11,P129,0.162951599
X510_Group1B_70dpi_RA_285_B_C11_P125.mzXML,510,Group1B,naive,75,RA,C11,P125,0.07132002
X510_Group1B_70dpi_RV_bottom_285_B_C11_P141.mzXML,510,Group1B,naive,75,RV_bottom,C11,P141,0.059179402
X510_Group1B_70dpi_RV_top_285_B_C11_P137.mzXML,510,Group1B,naive,75,RV_top,C11,P137,0.04702616
X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,526,Group1B,naive,75,LA,C12,P121,0.143587309
X526_Group1B_70dpi_LV_bottom_286_B_C12_P133.mzXML,526,Group1B,naive,75,LV_bottom,C12,P133,0.142941648
X526_Group1B_70dpi_LV_top_286_B_C12_P129.mzXML,526,Group1B,naive,75,LV_top,C12,P129,0.091142254
X526_Group1B_70dpi_RA_286_B_C12_P125.mzXML,526,Group1B,naive,75,RA,C12,P125,0.061111031
X526_Group1B_70dpi_RV_bottom_286_B_C12_P141.mzXML,526,Group1B,naive,75,RV_bottom,C12,P141,0.092783978
X526_Group1B_70dpi_RV_top_286_B_C12_P137.mzXML,526,Group1B,naive,75,RV_top,C12,P137,0.040772135
X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,527,Group1B,naive,75,LA,D1,P121,0.171122467
X527_Group1B_70dpi_LV_bottom_287_B_D1_P133.mzXML,527,Group1B,naive,75,LV_bottom,D1,P133,0.172815355
X527_Group1B_70dpi_LV_top_287_B_D1_P129.mzXML,527,Group1B,naive,75,LV_top,D1,P129,0.208484364
X527_Group1B_70dpi_RA_287_B_D1_P125.mzXML,527,Group1B,naive,75,RA,D1,P125,0.063482274
X527_Group1B_70dpi_RV_bottom_287_B_D1_P141.mzXML,527,Group1B,naive,75,RV_bottom,D1,P141,0.030600565
X527_Group1B_70dpi_RV_top_287_B_D1_P137.mzXML,527,Group1B,naive,75,RV_top,D1,P137,0.047224571
X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML,528,Group1B,naive,75,LA,D2,P121,0.2084926
X528_Group1B_70dpi_LV_bottom_288_B_D2_P133.mzXML,528,Group1B,naive,75,LV_bottom,D2,P133,0.089213836
X528_Group1B_70dpi_LV_top_288_B_D2_P129.mzXML,528,Group1B,naive,75,LV_top,D2,P129,0.114548847
X528_Group1B_70dpi_RA_288_B_D2_P125.mzXML,528,Group1B,naive,75,RA,D2,P125,0.080870691
X528_Group1B_70dpi_RV_bottom_288_B_D2_P141.mzXML,528,Group1B,naive,75,RV_bottom,D2,P141,0.059023632
X528_Group1B_70dpi_RV_top_288_B_D2_P137.mzXML,528,Group1B,naive,75,RV_top,D2,P137,0.058688681
X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML,529,Group1B,naive,75,LA,D3,P121,0.156965382
X529_Group1B_70dpi_LV_bottom_289_B_D3_P133.mzXML,529,Group1B,naive,75,LV_bottom,D3,P133,0.169348977
X529_Group1B_70dpi_LV_top_289_B_D3_P129.mzXML,529,Group1B,naive,75,LV_top,D3,P129,0.159404677
X529_Group1B_70dpi_RA_289_B_D3_P125.mzXML,529,Group1B,naive,75,RA,D3,P125,0.104929679
X529_Group1B_70dpi_RV_bottom_289_B_D3_P141.mzXML,529,Group1B,naive,75,RV_bottom,D3,P141,0.083602316
