filename,NGP24h
org_pos_1224,1
org_pos_2601,1
org_pos_2728,1
org_pos_2792,1
org_pos_2799,1
aq_pos_2134,1
aq_pos_2251,1
aq_pos_3340,1
aq_pos_4174,1
org_pos_1223,1
org_pos_1522,1
org_pos_2131,1
org_pos_2829,1
org_pos_2842,1
org_pos_3098,1
org_pos_3186,1
aq_pos_459,1
aq_pos_609,1
aq_pos_1308,1
aq_pos_2377,1
aq_pos_4903,1
aq_pos_5216,1
org_pos_1084,1
org_pos_1573,1
org_pos_2514,1
org_pos_2768,1
org_pos_2823,1
org_pos_2871,1
org_pos_2914,1
org_pos_2923,1
org_pos_2979,1
org_pos_3587,1
aq_pos_48,1
aq_pos_271,1
aq_pos_2048,1
aq_pos_2165,1
aq_pos_2215,1
aq_pos_2479,1
aq_pos_2480,1
aq_pos_3054,1
aq_pos_3210,1
aq_pos_4364,1
aq_pos_5080,1
aq_pos_6359,1
aq_pos_6372,1
aq_pos_6688,1
org_pos_283,1
org_pos_1216,1
org_pos_1238,1
org_pos_1490,1
org_pos_2465,1
org_pos_2613,1
org_pos_2660,1
org_pos_2705,1
org_pos_2918,1
org_pos_2999,1
org_pos_3028,1
aq_pos_219,1
aq_pos_416,1
aq_pos_2278,1
aq_pos_2647,1
aq_pos_2779,1
aq_pos_2867,1
aq_pos_4127,1
aq_pos_5502,1
org_pos_1658,1
org_pos_1694,1
org_pos_2464,1
org_pos_2515,1
org_pos_2523,1
org_pos_2848,1
org_pos_3262,1
org_pos_3504,1
aq_pos_2389,1
aq_pos_2423,1
aq_pos_2558,1
aq_pos_2675,1
aq_pos_2780,1
aq_pos_2861,1
aq_pos_4156,1
aq_pos_4995,1
aq_pos_5015,1
aq_pos_5308,1
org_pos_886,1
org_pos_1029,1
org_pos_1220,1
org_pos_1804,1
org_pos_2353,1
org_pos_2649,1
org_pos_2650,1
org_pos_2783,1
org_pos_2933,1
org_pos_3812,1
aq_pos_2888,1
aq_pos_3236,1
aq_pos_4146,1
aq_pos_4241,1
aq_pos_4706,1
