organ,LA,LVB,LVT,RA,RVB,RVT,sum_all
X674.437_3.128,0.00E+00,0.00E+00,2.96E-05,0.00E+00,0.00E+00,0,0.0000296
X621.671_2.438,0.00E+00,0.00E+00,0.00E+00,2.97E-05,0.00E+00,0,0.0000297
X448.176_2.137,0.00E+00,0.00E+00,2.98E-05,0.00E+00,0.00E+00,0,0.0000298
X393.227_2.69,0.00E+00,0.00E+00,3.01E-05,0.00E+00,0.00E+00,0,0.0000301
X444.181_2.262,0.00E+00,3.05E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000305
X427.307_3.008,0.00E+00,3.06E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000306
X423.2_2.76,0.00E+00,3.07E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000307
X798.539_5.559,0.00E+00,0.00E+00,3.08E-05,0.00E+00,0.00E+00,0,0.0000308
X468.368_2.851,0.00E+00,0.00E+00,3.10E-05,0.00E+00,0.00E+00,0,0.000031
X457.35_3.267,0.00E+00,0.00E+00,0.00E+00,3.10E-05,0.00E+00,0,0.000031
X716.552_3.224,0.00E+00,0.00E+00,0.00E+00,3.10E-05,0.00E+00,0,0.000031
X266.152_2.71,0.00E+00,3.10E-05,0.00E+00,0.00E+00,0.00E+00,0,0.000031
X313.274_3.226,1.95E-05,0.00E+00,1.16E-05,0.00E+00,0.00E+00,0,0.0000311
X800.616_5.613,0.00E+00,0.00E+00,3.13E-05,0.00E+00,0.00E+00,0,0.0000313
X606.294_2.892,0.00E+00,0.00E+00,3.14E-05,0.00E+00,0.00E+00,0,0.0000314
X790.574_4.314,0.00E+00,3.14E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000314
X1025.618_2.934,0.00E+00,0.00E+00,3.14E-05,0.00E+00,0.00E+00,0,0.0000314
X732.546_3.081,0.00E+00,0.00E+00,0.00E+00,3.15E-05,0.00E+00,0,0.0000315
X154.07_5.415,0.00E+00,0.00E+00,0.00E+00,3.16E-05,0.00E+00,0,0.0000316
