DPI,DPI_50,DPI_75,DPI_142,sum
X278.191_2.561,4.73E-05,0.00E+00,0,0.0000473
X102.092_1.501,0.00E+00,1.34E-05,0.0000342,0.0000476
X374.327_2.794,0.00E+00,0.00E+00,0.0000479,0.0000479
X459.2_2.536,0.00E+00,4.83E-05,0,0.0000483
X556.268_2.65,1.15E-05,3.70E-05,0,0.0000485
X584.473_3.112,1.48E-05,0.00E+00,0.0000343,0.0000491
X748.583_3.471,1.26E-05,0.00E+00,0.0000369,0.0000495
X394.259_2.837,9.55E-06,4.00E-05,0,0.00004955
X284.099_0.314,0.00E+00,0.00E+00,0.0000496,0.0000496
X699.371_5.603,4.96E-05,0.00E+00,0,0.0000496
X584.207_2.096,1.47E-05,3.53E-05,0,0.00005
X546.353_3.209,5.00E-05,0.00E+00,0,0.00005
X639.976_2.342,1.94E-05,3.09E-05,0,0.0000503
X479.394_3.267,5.03E-05,0.00E+00,0,0.0000503
X323.172_2.309,5.04E-05,0.00E+00,0,0.0000504
X440.622_2.184,0.00E+00,5.05E-05,0,0.0000505
X211.079_2.765,5.07E-05,0.00E+00,0,0.0000507
X455.754_2.834,0.00E+00,5.07E-05,0,0.0000507
X591.322_2.788,0.00E+00,5.12E-05,0,0.0000512
X313.237_2.68,1.95E-05,3.17E-05,0,0.0000512
X225.113_2.417,0.00E+00,0.00E+00,0.0000512,0.0000512
X648.629_5.246,0.00E+00,3.48E-05,0.0000166,0.0000514
X435.368_3.27,5.18E-05,0.00E+00,0,0.0000518
X568.1_2.357,0.00E+00,5.18E-05,0,0.0000518
X506.589_2.206,0.00E+00,5.19E-05,0,0.0000519
X459.281_2.284,0.00E+00,0.00E+00,0.000052,0.000052
X368.352_2.957,0.00E+00,1.07E-05,0.0000413,0.000052
X304.212_2.319,0.00E+00,5.21E-05,0,0.0000521
X744.48_3.262,1.10E-05,0.00E+00,0.0000413,0.0000523
X973.624_2.916,0.00E+00,5.23E-05,0,0.0000523
X439.212_2.128,0.00E+00,5.25E-05,0,0.0000525
X149.024_2.787,0.00E+00,2.58E-05,0.0000269,0.0000527
X288.253_2.791,2.72E-05,2.55E-05,0,0.0000527
X272.186_2.203,5.28E-05,0.00E+00,0,0.0000528
X379.248_2.828,0.00E+00,5.29E-05,0,0.0000529
X346.311_2.717,0.00E+00,5.30E-05,0,0.000053
X470.42_3.094,1.08E-05,4.23E-05,0,0.0000531
X752.558_4.121,0.00E+00,5.31E-05,0,0.0000531
X112.036_5.024,5.32E-05,0.00E+00,0,0.0000532
X298.2_2.676,0.00E+00,0.00E+00,0.0000533,0.0000533
X820.51_3.354,0.00E+00,5.33E-05,0,0.0000533
X701.409_5.023,2.38E-05,2.97E-05,0,0.0000535
X444.309_3.068,0.00E+00,5.35E-05,0,0.0000535
X466.411_3.195,0.00E+00,5.36E-05,0,0.0000536
X528.366_2.864,3.81E-05,1.56E-05,0,0.0000537
X410.406_2.232,1.56E-05,3.82E-05,0,0.0000538
X261.145_0.419,0.00E+00,5.38E-05,0,0.0000538
X573.32_3.222,0.00E+00,0.00E+00,0.000054,0.000054
X116.987_0.321,5.45E-05,0.00E+00,0,0.0000545
X436.415_3.66,0.00E+00,5.46E-05,0,0.0000546
X384.275_2.625,5.46E-05,0.00E+00,0,0.0000546
X298.115_0.465,5.47E-05,0.00E+00,0,0.0000547
X169.036_0.367,0.00E+00,5.48E-05,0,0.0000548
X348.288_3.044,5.49E-05,0.00E+00,0,0.0000549
X462.319_3.281,5.50E-05,0.00E+00,0,0.000055
X455.587_2.2,2.28E-05,3.24E-05,0,0.0000552
X465.052_0.311,0.00E+00,5.52E-05,0,0.0000552
X922.549_2.391,0.00E+00,3.01E-05,0.0000254,0.0000555
X379.087_2.328,5.59E-05,0.00E+00,0,0.0000559
X369.226_2.516,0.00E+00,5.61E-05,0,0.0000561
X536.504_3.919,3.83E-05,1.79E-05,0,0.0000562
X242.1_0.815,0.00E+00,5.64E-05,0,0.0000564
X580.304_3.279,0.00E+00,5.67E-05,0,0.0000567
X195.003_0.365,5.67E-05,0.00E+00,0,0.0000567
X469.252_2.661,0.00E+00,5.68E-05,0,0.0000568
X400.764_5.609,0.00E+00,3.32E-05,0.0000237,0.0000569
X529.284_2.184,0.00E+00,5.70E-05,0,0.000057
X142.098_3.702,0.00E+00,5.71E-05,0,0.0000571
X402.78_3.543,3.95E-05,1.78E-05,0,0.0000573
X468.368_2.851,1.16E-05,4.58E-05,0,0.0000574
X537.723_2.344,0.00E+00,5.74E-05,0,0.0000574
X386.961_0.313,0.00E+00,2.81E-05,0.0000294,0.0000575
X582.796_2.315,0.00E+00,5.76E-05,0,0.0000576
X112.036_5.367,5.79E-05,0.00E+00,0,0.0000579
X680.412_3.116,0.00E+00,7.51E-06,0.0000504,0.00005791
X647.485_3.751,5.80E-05,0.00E+00,0,0.000058
X1053.127_2.402,0.00E+00,5.83E-05,0,0.0000583
X815.699_3.272,3.12E-05,2.73E-05,0,0.0000585
X198.149_3.215,0.00E+00,5.85E-05,0,0.0000585
X822.524_3.294,0.00E+00,5.86E-05,0,0.0000586
X156.077_4.842,5.87E-05,0.00E+00,0,0.0000587
X307.19_2.736,2.14E-05,3.82E-05,0,0.0000596
X586.285_2.25,0.00E+00,5.97E-05,0,0.0000597
X665.357_2.437,0.00E+00,5.98E-05,0,0.0000598
X523.3_2.941,3.06E-05,2.94E-05,0,0.00006
X900.484_2.874,6.00E-05,0.00E+00,0,0.00006
X724.218_2.769,0.00E+00,1.55E-05,0.0000446,0.0000601
X457.35_3.267,6.04E-05,0.00E+00,0,0.0000604
X652.551_3.953,1.77E-05,4.31E-05,0,0.0000608
X393.21_2.245,0.00E+00,0.00E+00,0.000061,0.000061
X528.367_2.865,1.32E-05,4.79E-05,0,0.0000611
X540.273_2.715,4.41E-05,1.72E-05,0,0.0000613
X258.207_2.775,6.13E-05,0.00E+00,0,0.0000613
X690.432_3.137,0.00E+00,0.00E+00,0.0000618,0.0000618
X594.342_2.513,6.19E-05,0.00E+00,0,0.0000619
X732.555_5.586,0.00E+00,0.00E+00,0.000062,0.000062
X209.074_2.274,0.00E+00,6.25E-05,0,0.0000625
X675.677_3.534,2.96E-05,3.30E-05,0,0.0000626
X487.105_2.774,0.00E+00,0.00E+00,0.000063,0.000063
X242.1_0.751,0.00E+00,6.33E-05,0,0.0000633
X398.34_3.936,0.00E+00,0.00E+00,0.0000636,0.0000636
X773.653_3.61,0.00E+00,6.37E-05,0,0.0000637
X785.588_5.592,6.38E-05,0.00E+00,0,0.0000638
X372.347_3.225,6.38E-05,0.00E+00,0,0.0000638
X716.448_3.143,0.00E+00,0.00E+00,0.0000638,0.0000638
X407.258_5.641,2.93E-05,3.48E-05,0,0.0000641
X328.119_2.673,6.49E-05,0.00E+00,0,0.0000649
X298.31_3.418,3.17E-05,3.32E-05,0,0.0000649
X526.277_2.241,3.80E-05,2.69E-05,0,0.0000649
X271.591_2.263,0.00E+00,6.50E-05,0,0.000065
X522.811_2.37,0.00E+00,6.50E-05,0,0.000065
X385.333_4.003,0.00E+00,0.00E+00,0.0000652,0.0000652
X323.222_2.853,2.53E-05,4.02E-05,0,0.0000655
X806.57_3.256,0.00E+00,0.00E+00,0.0000655,0.0000655
